ds,trend,yhat_lower,yhat_upper,yhat
2022-01-02,53270.077500222076,48897.97845750968,59923.79019277095,54303.79905017452
2022-01-03,53299.33237256032,49397.99618282337,59617.85998035517,54513.72555745105
2022-01-04,53328.58724489857,49252.46872252799,59927.2844373686,54631.66859701837
2022-01-05,53357.84211723682,49510.542121016086,60248.470151890615,54857.46400207963
2022-01-06,53387.09698957505,49654.8131526777,60029.48997032278,54912.87094164379
2022-01-07,53416.3518619133,49929.37284712402,60646.46680270541,55078.32099371306
2022-01-08,53445.60673425155,49535.732142104105,60166.60003179796,55195.36713070389
2022-01-09,53474.861606589795,49977.304044373464,60543.19080086951,55266.687371213775
2022-01-10,53504.11647892804,50007.41829008532,60991.00157558782,55304.96988209111
2022-01-11,53533.37135126627,49607.81054129528,61004.324314443154,55242.094969898404
2022-01-12,53562.62622360452,49792.4749328369,60762.36126437184,55281.58416912991
2022-01-13,53591.881095942765,49815.55018001778,60816.46084825709,55149.06350976611
2022-01-14,53621.13596828101,49574.37964504239,60425.175377897096,55128.925764025356
2022-01-15,53650.39084061926,49587.794298893474,60907.500337710444,55066.68910018212
2022-01-16,53679.64571295751,49445.35948684631,60519.94367062478,54968.909094474766
2022-01-17,53708.90058529574,49600.9013627206,60369.76729432435,54851.973137653506
2022-01-18,53738.15545763399,49355.739571056416,60321.695544585295,54651.19492606019
2022-01-19,53767.41032997224,48863.06666903614,60260.37816726562,54573.1814358173
2022-01-20,53796.665202310476,48815.11614004051,60241.556409759825,54346.22153766735
2022-01-21,53825.920074648726,48530.36586361128,59012.923110941476,54256.88295688698
2022-01-22,53855.174946986976,48906.51301242451,59424.012575645225,54152.31669034695
2022-01-23,53884.42981932522,48566.998027870635,59077.52568264812,54040.12725094778
2022-01-24,53913.68469166346,48523.845893444595,59477.1724605457,53937.138892157585
2022-01-25,53942.93956400171,48219.31748757778,59423.03614822483,53778.47628533537
2022-01-26,53972.19443633995,48508.71867813888,59083.545731915394,53769.93247589607
2022-01-27,54001.4493086782,48419.82731362951,59064.64615907,53638.37333520297
2022-01-28,54030.70418101644,48373.80685918247,58982.312000295686,53668.364900488465
2022-01-29,54059.95905335469,48401.85327132345,59139.700865108156,53704.522037504554
2022-01-30,54089.21392569294,48395.888242854155,59622.82745205087,53751.435769258576
2022-01-31,54118.468798031165,48594.13140026387,59194.60179215283,53822.508071969525
2022-02-01,54147.723670369414,48214.61309410457,59341.677449415554,53849.11096795059
2022-02-02,54176.97854270767,48349.764964853006,59194.495443056156,54033.04084800352
2022-02-03,54206.23341504591,48915.26506741241,59584.179520470614,54097.01514379171
2022-02-04,54235.48828738415,49051.08384484079,59472.42951660285,54321.39549600935
2022-02-05,54264.7431597224,48543.51180694369,59831.7700849876,54546.63351335186
