ds,trend,yhat_lower,yhat_upper,yhat
2022-01-02,4498.454508978751,4154.78352756535,4723.973530759309,4445.459587675753
2022-01-03,4507.897464018081,4175.127685651453,4774.544575133394,4471.221062481582
2022-01-04,4517.340419057417,4233.129377379073,4788.734456458212,4496.376493885956
2022-01-05,4526.78337409675,4215.517899573713,4812.3420227379565,4527.482591803459
2022-01-06,4536.226329136083,4260.737831224209,4837.688983608536,4548.9952028414855
2022-01-07,4545.669284175417,4288.581563501249,4878.832401694711,4571.630354717412
2022-01-08,4555.112239214752,4304.894360193526,4913.857899477378,4601.645386850628
2022-01-09,4564.555194254083,4334.230512221328,4921.33000102078,4630.678769752613
2022-01-10,4573.9981492934185,4345.4522155156465,4938.190087578782,4652.46158325356
2022-01-11,4583.441104332749,4398.613330757851,4955.212033301341,4672.211303792047
2022-01-12,4592.884059372085,4402.7571954364375,4992.26460164426,4696.607683105032
2022-01-13,4602.327014411418,4424.454090361453,5021.654783777625,4710.258147821063
2022-01-14,4611.769969450751,4411.321508593691,5005.405120508201,4724.055208015986
2022-01-15,4621.212924490084,4451.860588569868,5032.14252319492,4744.453308468675
2022-01-16,4630.6558795294195,4462.240548908318,5061.516701714344,4763.30383403494
2022-01-17,4640.098834568751,4494.986969737081,5066.139572204044,4774.561362609691
2022-01-18,4649.541789608086,4491.626775328724,5069.815863692478,4783.671950717828
2022-01-19,4658.984744647421,4507.868329158931,5091.445633280194,4797.543376698289
2022-01-20,4668.427699686752,4545.656875364201,5085.995875953115,4801.004917625044
2022-01-21,4677.870654726088,4512.180783113593,5101.3433313789255,4805.159294754706
2022-01-22,4687.3136097654215,4523.533525436803,5116.930074752784,4816.6543641200615
2022-01-23,4696.756564804754,4545.893184557624,5100.804498640833,4827.513398872232
2022-01-24,4706.199519844087,4554.719846114809,5121.5285024468285,4831.837180674266
2022-01-25,4715.642474883422,4571.280547508978,5116.838245354474,4835.188794313654
2022-01-26,4725.085429922754,4544.739369078092,5151.638756026148,4844.561141951376
2022-01-27,4734.528384962089,4557.85164503954,5147.757006044303,4844.834824436146
2022-01-28,4743.97134000142,4535.5776434604895,5146.074113770699,4847.129073636141
2022-01-29,4753.414295040756,4563.595643421529,5164.009562296154,4858.07333809115
2022-01-30,4762.857250080088,4584.102847707423,5161.350175791767,4869.638370068741
2022-01-31,4772.300205119422,4588.960642426372,5162.099788924608,4875.840008539587
2022-02-01,4781.743160158755,4588.766043819123,5177.4059132675,4882.1265057762375
2022-02-02,4791.18611519809,4600.837298587148,5199.459515618793,4895.349345091481
2022-02-03,4800.629070237422,4623.0262134316545,5183.660353766622,4900.225107654045
2022-02-04,4810.072025276757,4621.939041111972,5216.832408016404,4907.6909646671975
2022-02-05,4819.514980316092,4637.550114451259,5239.551626624355,4924.181274277141
2022-02-06,4828.957935355424,4660.248056761647,5222.779089750795,4941.463996418585
2022-02-07,4838.400890394759,4667.913159207312,5237.218416673081,4953.349976950305
2022-02-08,4847.843845434092,4648.364472674963,5269.964292694123,4965.085801217996
2022-02-09,4857.286800473425,4676.9658847295,5276.279881852374,4983.330016595188
2022-02-10,4866.729755512758,4719.047939647772,5282.118552404545,4992.620137589425
2022-02-11,4876.1727105520895,4730.5569585905,5294.189802635337,5003.732872981909
2022-02-12,4885.615665591425,4729.0594913444675,5317.954177733047,5022.9649287943985
2022-02-13,4895.05862063076,4758.376261243273,5344.225988504533,5041.972989364303
2022-02-14,4904.501575670091,4747.436245717113,5343.099177921278,5054.4858346019555
2022-02-15,4913.9445307094265,4763.5183765614975,5345.23649414307,5065.699220453469
2022-02-16,4923.38748574876,4807.528645784894,5364.793093165713,5082.253271132058
2022-02-17,4932.830440788092,4797.520554292586,5392.19223454358,5088.699769199901
2022-02-18,4942.273395827426,4815.615711553579,5399.440426090436,5095.8617796550525
2022-02-19,4951.716350866761,4809.66756728584,5382.090373033358,5110.1129827396135
2022-02-20,4961.159305906092,4829.167847193256,5414.894656454704,5123.215362289111
2022-02-21,4970.602260945428,4850.00379005332,5422.125101935737,5129.02827458239
2022-02-22,4980.045215984763,4848.042112274461,5430.560691532713,5132.899612064524
2022-02-23,4989.488171024094,4828.41193104816,5443.592808774251,5141.638915876553
2022-02-24,4998.9311260634295,4839.391242435617,5429.368952957812,5139.9799437269485
2022-02-25,5008.374081102763,4868.300174750591,5428.037696115227,5138.935261447257
2022-02-26,5017.817036142096,4834.454265410777,5439.387792321875,5145.070373202504
2022-02-27,5027.259991181429,4853.280738805119,5446.193440318771,5150.336181609646
2022-02-28,5036.70294622076,4846.654137130091,5434.692358177339,5148.77294734016
2022-03-01,5046.145901260095,4858.651311059257,5459.266468789983,5145.896603385406
2022-03-02,5055.5888562994305,4864.336455485752,5446.436315991307,5148.6674110240665
2022-03-03,5065.031811338762,4839.601045524225,5425.483133775399,5141.948585771081
2022-03-04,5074.474766378097,4848.85059664881,5423.154790880041,5136.857568682236
2022-03-05,5083.917721417431,4852.925509878147,5434.253910720092,5140.037547370675
2022-03-06,5093.360676456764,4845.576243142807,5444.137408955465,5143.4880872859185
2022-03-07,5102.803631496096,4879.036672567364,5437.810499489597,5141.268090159273
2022-03-08,5112.2465865354325,4844.318944761733,5443.840656384643,5138.881958878921
2022-03-09,5121.689541574763,4880.9031162622305,5444.559668168168,5143.2489560562535
2022-03-10,5131.132496614098,4863.6602205231675,5465.992467730462,5139.163360956136
2022-03-11,5140.575451653433,4845.214929187945,5441.153549799492,5137.648053433643
2022-03-12,5150.018406692765,4848.085252699449,5436.186467696077,5145.229060714933
2022-03-13,5159.4613617321,4850.270287421209,5461.154095702874,5153.769839213162
2022-03-14,5168.9043167714335,4837.543082751686,5445.092035323116,5157.178402574154
2022-03-15,5178.347271810764,4855.7082468829885,5442.264010069097,5160.798055128587
2022-03-16,5187.7902268501,4876.400455501729,5448.243332623782,5171.381586915415
2022-03-17,5197.233181889431,4859.308754121504,5465.79129640919,5173.556396512631
2022-03-18,5206.676136928766,4892.57473159621,5485.494891140399,5178.18302841103
2022-03-19,5216.119091968101,4909.724325109211,5514.643069733584,5191.634519353639
2022-03-20,5225.562047007433,4910.303506044313,5496.265573039398,5205.635188854853
2022-03-21,5235.005002046768,4913.514309008413,5533.202042248478,5213.97185637318
2022-03-22,5244.447957086101,4936.092217409059,5506.331205143929,5221.888127434825
2022-03-23,5253.890912125435,4914.482219797681,5530.728811517151,5236.061503092826
2022-03-24,5263.333867164768,4935.565549422808,5540.954595849997,5241.070695106317
2022-03-25,5272.776822204103,4949.894125026034,5544.211985706261,5247.755569991335
2022-03-26,5282.219777243434,4972.170212177592,5564.75959479039,5262.4970748178175
2022-03-27,5291.662732282769,4962.187973872376,5580.136851330798,5277.055761615949
2022-03-28,5301.105687322105,4989.907305617314,5595.96598743928,5285.281898228032
2022-03-29,5310.548642361436,5000.440787281035,5604.9139793430895,5292.507836841084
2022-03-30,5319.991597400771,5002.37465578505,5604.701580993593,5305.522446304567
2022-03-31,5329.434552440102,5016.008424614087,5587.94509521923,5309.035063701864
2022-04-01,5338.877507479436,5011.370208524544,5601.836146756626,5314.031480763599
2022-04-02,5348.320462518771,5029.784631162654,5636.710244135516,5327.049427246654
2022-04-03,5357.7634175581015,5038.266251272252,5649.078461002809,5340.012291197576
2022-04-04,5367.206372597437,5029.293543453825,5664.995051889042,5346.934197416136
2022-04-05,5376.649327636773,5054.51039886945,5632.737691598077,5353.307255590799
2022-04-06,5386.092282676103,5076.140329802297,5662.989433773626,5366.0709273490165
2022-04-07,5395.535237715439,5072.680755084279,5698.050116084835,5370.071109806296
2022-04-08,5404.978192754772,5069.4829471587245,5678.844425666882,5376.411588390649
2022-04-09,5414.421147794105,5070.630488934135,5691.690547994282,5391.725449568739
2022-04-10,5423.864102833439,5107.363821537352,5691.678350103048,5408.005309686708
2022-04-11,5433.307057872774,5114.187051339905,5724.800333183117,5419.305582140856
2022-04-12,5442.7500129121045,5133.502780006961,5733.422467366012,5431.12767709149
2022-04-13,5452.192967951441,5168.84764275453,5758.071492572809,5450.388145282857
2022-04-14,5461.635922990776,5161.63923237609,5770.680788793411,5461.877403738587
2022-04-15,5471.078878030106,5189.333700549151,5773.453947363282,5476.611713061826
2022-04-16,5480.5218330694415,5203.667600046007,5818.672049087749,5501.105990206895
2022-04-17,5489.964788108773,5224.720204959911,5840.565211834809,5527.206282638141
2022-04-18,5499.407743148106,5243.470027361638,5846.4324581718865,5548.795073059748
2022-04-19,5508.850698187442,5316.96418519945,5886.772464422647,5571.180234585696
2022-04-20,5518.293653226772,5312.635558940452,5887.394890788868,5601.067554243839
2022-04-21,5527.736608266108,5317.12168072833,5922.856706837112,5623.02435210261
2022-04-22,5537.1795633054435,5355.0127856737745,5946.3424405458,5647.836741403395
2022-04-23,5546.622518344774,5375.866432015086,5974.999213210796,5681.787978681418
2022-04-24,5556.065473384109,5409.9291510725,6045.5122904140835,5716.496587952852
2022-04-25,5565.508428423443,5441.325469036918,6066.698113295672,5745.627283136088
2022-04-26,5574.951383462776,5468.537896728249,6083.067660961427,5774.28536421597
2022-04-27,5584.394338502109,5487.9219901808965,6109.968780451485,5808.994365156567
2022-04-28,5593.8372935414445,5525.583708894868,6137.715825121949,5834.164349105375
2022-04-29,5603.280248580776,5557.458231322037,6175.151665885051,5860.453276118709
2022-04-30,5612.723203620111,5579.222070453326,6179.554175223097,5894.048786946697
2022-05-01,5622.166158659446,5620.850387934237,6230.378456073036,5926.508998939839
2022-05-02,5631.609113698777,5654.014660524253,6261.048267247619,5951.475269897283
2022-05-03,5641.052068738113,5676.284662442449,6285.23446001371,5974.067558390714
2022-05-04,5650.495023777444,5719.316031860107,6305.77644275095,6000.862134103189
2022-05-05,5659.937978816777,5692.05250835493,6328.082071026409,6016.359032295328
2022-05-06,5669.380933856112,5724.656962266792,6337.287721490089,6031.341699153053
2022-05-07,5678.823888895444,5742.713023291062,6345.339015103647,6052.156215349079
2022-05-08,5688.266843934779,5753.753650634324,6372.4846080487905,6070.548758674455
2022-05-09,5697.709798974114,5766.961007068364,6408.261511176633,6080.374345539711
2022-05-10,5707.152754013445,5789.424908965596,6390.670649288202,6086.987580749866
2022-05-11,5716.595709052781,5774.3000818277715,6412.484357982621,6097.215284115888
2022-05-12,5726.038664092113,5780.063805966504,6428.217915768064,6095.8185141251915
2022-05-13,5735.481619131447,5767.216686208148,6392.951803771353,6093.846569279353
2022-05-14,5744.92457417078,5793.736139899981,6424.888551007201,6097.910492520389
2022-05-15,5754.367529210115,5791.717098662587,6407.435448743584,6100.014878342299
2022-05-16,5763.810484249447,5765.136459350032,6417.889519916255,6094.261158212151
2022-05-17,5773.253439288782,5784.439247149383,6397.067718551755,6086.233223164324
2022-05-18,5782.696394328113,5778.055471171893,6409.676392771245,6082.965371981566
2022-05-19,5792.139349367449,5736.210946894456,6400.601777638976,6069.4002124711305
2022-05-20,5801.582304406784,5709.169699018924,6370.253558666198,6056.739188575421
2022-05-21,5811.025259446114,5730.780527705367,6374.781506911166,6051.713333554935
2022-05-22,5820.468214485448,5724.484256982414,6352.099874990541,6046.413104661222
2022-05-23,5829.911169524783,5697.6455119302045,6353.81477896661,6034.99051058957
2022-05-24,5839.3541245641145,5700.343173073197,6329.16638453996,6023.044405468973
